Date,Coal,Copper,Cotton,Fish_Meal,Hard_Logs,Hard_Sawn,Hides,Iron_Ore,Lead,Nickel,Rubber,Soft_Logs,Soft_Sawn,Tin,Uranium,WTI_Crude,Zinc
10/1/2009,81.44291126,6655.135101,71.79332612,1571.372067,271.1426675,807.37225,72.4565,97.09711086,2285.798838,17507.47655,116.5466072,139.1771965,306.6491586,15197.41414,45.09953704,76.10859747,2213.810087
1/1/2010,99.46735248,7233.994928,81.07462121,1750.674653,253.6048435,787.8482788,84.08638444,131.099617,2213.533696,19977.75797,144.3644988,148.9436994,312.1268893,17190.54348,42.2787037,78.64520842,2283.575181
4/1/2010,105.7938055,7024.831798,89.94312865,1895.338391,253.5106174,832.5906078,92.91044372,159.1492063,1952.074522,22456.59848,169.2463471,161.3573527,305.9160083,17819.11786,41.13425926,77.86350649,2027.933612
7/1/2010,99.94189085,7260.941919,93.07568543,1670.3467,293.4971622,879.7773234,91.03630952,137.4439394,2039.871934,21229.14827,153.0580547,149.8490761,318.5467995,20544.6526,44.8912037,76.0069697,2015.148882
10/1/2010,113.1922078,8633.679834,150.0814574,1640.51512,312.0753239,892.8716167,91.03542569,159.1856798,2387.242424,23576.49242,196.2076347,159.9092508,302.1227753,25914.6811,55.54027778,85.10494008,2314.726263
1/1/2011,137.1964363,9639.165399,207.2566304,1658.641008,326.237952,921.6027167,82.80185972,178.7221739,2601.19058,26914.58261,258.9771938,171.6649592,294.4209001,29883.31159,64.125,93.93069565,2396.913587
4/1/2011,129.2834885,9160.425758,182.3538889,1619.894648,382.102947,959.1642933,86.33315296,175.7444613,2554.657786,24305.88283,240.4564052,184.756542,284.3232373,28812.92542,56.42797619,102.5161039,2255.181229
7/1/2011,129.0043831,8982.863095,126.7416667,1423.678085,444.7158434,965.2333,84.53042933,175.8844877,2453.917027,22030.07504,211.0686606,164.8490735,310.3088186,24660.47493,51.81851852,89.71064402,2224.071284
10/1/2011,122.9448253,7511.362734,103.5803319,1374.789214,408.9920583,911.7876,75.6031746,140.8097475,1993.05312,18386.02837,163.5562793,162.3432528,308.1862227,20849.08663,52.57017196,94.02827561,1905.961616
1/1/2012,120.7345083,8324.729618,100.4546898,1309.864977,373.2590887,882.8678167,76.54834055,141.8021645,2092.723124,19654.36418,174.7485114,160.0207174,310.1242039,22942.14791,51.88564815,102.8539827,2027.645635
4/1/2012,102.3093131,7870.241627,90.27101276,1522.800238,361.0118603,883.7930667,84.88419913,139.5137161,1974.617544,17154.93939,162.8670799,156.4302222,323.6087761,20555.08732,51.34074074,93.38358868,1928.876595
7/1/2012,92.6673539,7727.478561,84.1719697,1735.637084,355.0808301,864.2574667,84.49355272,111.7339394,1985.641667,16373.45341,134.7157163,162.1357386,320.0616663,19330.97008,49.11018519,92.20229644,1891.306061
10/1/2012,90.06039147,7913.248908,82.06619513,1928.907635,352.6894311,874.4497278,88.55253623,121.0556549,2201.245311,16984.20092,140.4293015,166.1196674,313.5685836,21609.21952,43.25925926,88.13278844,1952.26179
1/1/2013,98.20540584,7922.346212,89.88810606,1918.393974,322.5313827,845.1608121,92.5952381,148.333266,2291.201136,17305.28939,143.1361603,170.0819539,306.279131,24037.54508,42.8125,94.35523464,2029.748864
4/1/2013,92.00062075,7156.704563,92.74590909,1804.731721,301.7754776,837.3904464,100.2886364,125.4051443,2051.983135,14952.60357,131.7697351,184.9705801,345.4626314,20879.55397,40.65166667,94.17576219,1841.874802
7/1/2013,82.5799024,7084.053451,91.80745342,1581.868414,301.0886586,845.960794,95.88203463,132.8106729,2101.910214,13953.32333,117.4825623,165.0892832,341.5939526,21312.3706,35.82322387,105.8017969,1860.297792
10/1/2013,87.75045438,7162.858834,87.16098171,1542.18976,296.3412112,882.6788688,101.6108696,134.895671,2113.905095,13908.73803,114.6463278,181.7631507,336.8037745,22896.8643,35.01126527,97.40502949,1908.742874
1/1/2014,83.58475959,7030.238041,93.98708514,1657.948465,289.7847671,901.9023333,107.8650794,120.4407937,2101.426263,14660.96508,102.096564,186.9317235,344.6264481,22636.28272,35.15486117,98.75795169,2026.45386
4/1/2014,78.23460884,6795.276786,92.60420635,1861.619461,291.5148305,917.2895,109.8239538,102.6644444,2097.117659,18467.82817,96.08159805,181.2550199,332.3340893,23146.15,29.83662583,103.141241,2071.427579
7/1/2014,73.27069523,6995.811281,77.07125823,1973.626747,286.4732027,909.9683333,111.8069986,91.64215133,2182.438422,18584.21588,83.35866057,179.0508764,323.2564316,21915.19453,31.20045215,97.57220215,2310.732658
10/1/2014,67.82586217,6632.260214,68.72441339,2192.687493,260.3919029,862.6078333,111.6777616,74.80108696,2000.850171,15860.48906,73.46819809,189.6524686,331.2028008,19897.86744,37.76578581,73.06702174,2235.270997
1/1/2015,67.9068004,5833.16039,68.84825758,2031.861646,249.8961889,826.1655,103.0488817,63.68333333,1810.421302,14392.84266,78.59019693,189.0649942,336.7000973,18369.98021,37.80113636,48.70159091,2079.845797
4/1/2015,63.32460185,6056.62506,72.30597687,1744.205782,245.3833589,834.8128333,96.5469697,58.12770563,1942.212939,13055.83146,81.21753841,178.9957633,325.0064938,15589.80343,36.85894661,57.75685426,2192.20618
7/1/2015,63.21395539,5267.1,70.96889657,1558.896936,243.5813749,844.9316667,74.66143579,55.4948397,1716.964493,10578.88109,66.10476055,180.3968893,304.2102139,15229.54951,36.47822166,46.50214537,1842.849852
10/1/2015,56.32485312,4884.943001,69.54559885,1701.882432,245.2024098,827.092,71.64090909,47.2440586,1681.680736,9422.982864,57.01261969,175.8957044,306.0006443,15077.19661,36.12198852,42.03001631,1611.812049
1/1/2016,54.2152551,4674.734722,66.92619048,1466.351349,258.2391076,780.2583333,72.7725469,48.40986888,1738.046825,8507.679167,59.33550491,186.8448167,319.0781749,15438.60437,32.9347136,33.27574879,1677.299405
4/1/2016,55.13812925,4736.413835,71.21944805,1511.536215,275.7445398,782.2566667,73.47546898,56.3979798,1717.615512,8822.519805,75.21748602,178.7552018,328.6222571,16902.11916,27.70782828,45.5191342,1916.863997
7/1/2016,70.70639301,4779.593254,79.72900433,1409.725255,290.7180908,716.1663333,74.20465839,58.61272665,1872.650541,10263.54329,76.08826659,179.6689555,325.7765253,18584.25722,25.540804,44.93610264,2251.564394
10/1/2016,100.2674482,5280.847908,78.98063131,1286.203157,272.8057952,676.8355,75.86111111,70.84018759,2138.301714,10786.97406,87.29297362,186.0090749,327.1098784,20810.0676,19.75739538,49.17401876,2514.172348
1/1/2017,87.90920881,5840.034153,84.75618703,1139.707936,261.8435163,674.928,76.51992754,85.65461133,2278.347654,10273.14244,115.4129497,181.8671221,308.4785773,20004.48546,23.98725296,51.84860935,2779.076018
4/1/2017,85.30081942,5667.741222,86.81261424,1102.421706,268.0068434,696.8006667,70.79318182,63.29802372,2159.550024,9232.05273,93.20781034,188.4130509,321.2484477,19923.16456,21.54710145,48.29843083,2592.842893
7/1/2017,99.44046073,6349.303571,81.34458874,1142.765103,268.170706,713.2428333,62.44456522,70.18771567,2330.905303,10532.38528,82.03786413,188.8294564,320.8432683,20513.69841,20.39979296,48.13724638,2961.591631
10/1/2017,103.9018284,6822.680821,81.47986443,1260.231703,263.6966667,723.4666667,61.80721501,65.3975469,2489.85626,11600.95933,72.50377317,203.7207334,329.0140101,19803.32735,22.42334055,55.41246032,3229.952153
1/1/2018,109.7126708,6957.185281,90.48667749,1476.923296,274.9393313,758.4946667,65.97201337,74.91693017,2518.38447,13284.41667,77.79993292,231.2689759,339.5190185,21186.79986,22.28644598,62.85610672,3414.533766
4/1/2018,110.0409609,6880.881151,94.8077381,1376.979919,272.8890953,741.963,61.89628427,66.60697032,2383.208929,14470.08095,74.63784926,214.7510321,345.2701729,20936.81905,21.96497585,67.91198068,3112.163492
7/1/2018,123.6832955,6117.519318,93.69560606,1281.798113,266.9923482,710.3348333,55.78025075,67.95573123,2094.489773,13238.52197,65.91240711,205.4545815,344.3596246,19308.56439,25.52374506,69.7218531,2534.266667
10/1/2018,109.4862143,6163.607734,86.52412281,1264.692799,263.994978,700.979,50.0015873,71.07398519,1965.661258,11463.23597,63.29515135,194.19,349.1333333,19148.64028,28.40156377,58.65142324,2628.55219
1/1/2019,102.1427798,6226.351353,82.43802309,1272.557112,270.2313934,709.6626667,42.92952077,83.28714286,2035.462716,12411.52991,74.5166328,187.2666667,348.83,21038.36825,28.18608351,54.83240028,2709.162428
4/1/2019,85.31958333,6112.830754,81.67853175,1300.102016,270.882013,700.5793333,39.66666667,101.9369565,1884.625992,12244.34484,83.0309968,184.07,351.5033333,19773.80159,24.95477602,59.76212912,2758.894841
7/1/2019,71.51458888,5803.295376,72.54240856,1210.59482,277.4535924,671.5853333,35.82651515,101.7829538,2030.678054,15650.60939,71.86350411,187.7766667,362.7666667,17139.15166,25.30808551,56.40164314,2350.360766
10/1/2019,69.79599305,5898.104236,74.85730849,1220.874231,273.8454585,701.7238333,38.553467,87.48966372,2035.259739,15349.15064,69.93154792,184.44,352.3666667,16693.30583,25.17682885,56.98244463,2383.221955
1/1/2020,71.12040584,5633.863636,74.44068182,1289.853713,273.2974737,698.0905,39.13043974,90.50049407,1843.636894,12689.54697,71.7487766,201.0066667,355.0433333,16266.79697,24.66338933,46.06451845,2123.723106
4/1/2020,57.92368934,5350.797923,65.67837719,1285.677194,276.8929856,676.9440333,26.72651515,92.80808081,1676.241482,12236.92235,62.28614998,190.0866667,354.4033333,15730.85311,32.18805916,27.96810245,1968.134726
7/1/2020,51.6867956,6528.584576,69.77918314,1291.629315,280.6159458,708.2822,27.17748918,117.0310559,1875.702635,14278.52514,79.08633572,196.2433333,334.6066667,17693.84662,31.23962607,40.90794372,2344.522851
10/1/2020,67.20190167,7184.985534,77.85371573,1293.025906,285.1558845,727.3099667,37.20227273,131.9463423,1904.119286,15956.71185,106.4725574,219.42,346.8266667,18810.34115,29.63199699,42.71321632,2630.702821
1/1/2021,92.90399068,8477.111775,90.4823913,1374.860621,281.1254609,751.4641667,41.93859649,165.2674086,2014.279478,17618.07214,105.9351047,224.4233333,351.6333333,25098.99583,28.95147516,57.79033333,2747.261486
4/1/2021,111.4025812,9707.534167,92.04046252,1470.679648,272.0126177,762.1295,49.59090909,198.9743108,2128.494197,17367.63947,100.6040274,233.94,417.8766667,31038.29015,30.71717362,66.10264791,2916.828258
7/1/2021,171.6298237,9381.889524,100.8955267,1476.284626,270.409369,751.0463333,57.75396825,163.3835227,2333.426328,19112.22768,84.13235393,243.25,331.11,34643.82818,36.52149621,70.58984848,2990.494351
